0.854998, 0.769231
0.418958, 1
0.518999, 0.465116
0.935768, 1
0.923986, 1
0.965978, 1
0.896995, 1
0.355962, 0
0.669997, 0.8
0.940968, 1
0.625997, 0.25
0.656998, 0.333333
0.328, 0.222222
0.494962, 0.5
0.737999, 1
0.83399, 0.5
0.962981, 1
0.873999, 1
0.869933, 1
0.795999, 0
0.748998, 0.75
0.953984, 1
0.814994, 1
0.941977, 1
0.776998, 0.714286
0.898991, 0.75
0.59899, 1
0.913999, 1
0.614997, 0
0.701999, 0.8
0.833998, 0.25
0.454997, 1
0.189996, 0.285714
0.620999, 0.7
0.627999, 0.5
0.944994, 0.4
0.923984, 1
0.828976, 0.5
0.900993, 1
0.350986, 0.666667
0.897996, 1
0.568892, 1
0.567997, 0.285714
0.917668, 1
0.632994, 1
0.85487, 0
0.818994, 1
0.829999, 0.75
0.596, 0.184211
0.849989, 0.333333
0.931999, 1
0.465987, 0
0.907991, 0
0.733998, 0
0.870983, 1
0.928921, 1
0.786998, 1
0.945972, 0
0.956988, 1
0.776998, 0.571429
0.903992, 1
0.659998, 0
0.670996, 1
0.918994, 1
0.775988, 1
0.949988, 1
0.943984, 0
0.481999, 0.285714
0.929989, 1
0.732984, 0
0.420899, 0
0.748998, 0.75
0.820995, 1
0.722998, 0.8
0.586, 0
0.638995, 1
0.850991, 0
0.741998, 0.666667
0.895995, 1
0.401999, 0.219512
0.752997, 0.5
0.292, 0.196429
0.402995, 0.25
0.295964, 0
0.743997, 0.5
0.545979, 0.5
0.688941, 1
0.914999, 1
0.893997, 1
0.933991, 1
0.837999, 0.666667
0.945977, 1
0.884996, 1
0.799997, 0.333333
0.930997, 1
0.782998, 0.666667
0.84999, 1
0.647998, 1
0.74897, 0.5
0.961997, 1
0.562971, 0
0.870998, 0.5
0.971998, 1
0.498997, 0.727273
0.571995, 1
0.757999, 0.473684
0.529925, 0
0.851, 0
0.102, 0
0.959966, 1
0.844995, 1
0.77999, 1
0.398, 0.178571
0.821997, 0.666667
0.813996, 0.5
0.723981, 1
0.843998, 1
0.956981, 1
0.609945, 0
0.853, 0
0.951998, 0.5
0.641988, 1
0.836999, 0.5
0.821, 1
0.907992, 1
0.688999, 0
0.737979, 1
0.897987, 1
0.892977, 1
0.826998, 0.666667
0.734999, 0.7
0.675967, 1
0.69, 0
0.901997, 0.5
0.841993, 1
0.582972, 0
0.820993, 1
0.910963, 0
0.879989, 0.714286
0.419995, 0
0.728993, 0.625
0.328949, 1
0.789995, 1
0.904, 1
0.893997, 1
0.930996, 0.5
0.699983, 0
0.583, 0
0.0989981, 0
0.96598, 1
0.87798, 1
0.776998, 1
0.712995, 0.857143
0.865997, 1
0.925994, 1
0.831994, 0
0.780939, 0
0.637988, 1
0.717993, 0.75
0.901996, 1
0.849982, 1
0.687998, 1
0.85997, 0
0.967968, 1
0.709981, 1
0.95099, 1
0.897995, 1
0.858994, 0.8
0.817993, 0
0.866997, 1
0.840996, 1
0.886995, 0.5
0.884997, 1
0.942995, 1
0.764978, 1
0.767999, 0.75
0.913991, 0.5
0.85899, 0.833333
0.863999, 0
0.677992, 1
0.690996, 0
0.444997, 0
0.633999, 0.5
0.940967, 1
0.846997, 1
0.497997, 0.25
0.879995, 1
0.407997, 0.666667
0.93298, 1
0.685995, 1
0.864999, 1
0.800996, 1
0.491984, 0.666667
0.73199, 1
0.613984, 1
0.805998, 0
0.589974, 0.5
0.612986, 1
0.633999, 1
0.898995, 1
0.961921, 0
0.584991, 0
0.802987, 1
0.939994, 1
0.939991, 1
0.898998, 0.666667
0.618957, 0.5
0.667987, 1
0.935993, 1
